,V1,b,se,t value,P,lo_ci,up_ci,or,or_lci95,or_uci95
1,HDL-C,0.009586389,0.103418716,0.092694917,0.926597405,-0.193114294,0.212287072,1.009632486,0.824387746,1.2365028
2,LDL-C,-0.085985365,0.113933987,-0.754694603,0.454745571,-0.30929598,0.13732525,0.91760766,0.7339635,1.147201214
3,TG,0.126010896,0.116092399,1.085436235,0.284069568,-0.101530206,0.353551998,1.134294527,0.903453889,1.424117036
4,TC,-0.026388744,0.135929085,-0.19413611,0.847028011,-0.292809751,0.240032263,0.973956396,0.746164084,1.271290165
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,HDL-C,LDL-C,TG,TC,,
,,,,,1.009632486,0.91760766,1.134294527,0.973956396,,
,,,,,0.824387746,0.7339635,0.903453889,0.746164084,,
,,,,,1.2365028,1.147201214,1.424117036,1.271290165,,
